P_0030,P_3000,P_3045,P_4530,P_4560,P_6045,P_6090,P_9060,S_0030,S_3000,S_3045,S_4530,S_4560,S_6045,S_6090,S_9060,idx
0.19617777777777778,0.19335555555555556,0.06728888888888888,0.06193333333333333,0.0467,0.04197777777777778,0.06881111111111111,0.06304444444444444,17656.0,17402.0,6056.0,5574.0,4203.0,3778.0,6193.0,5674.0,53
0.22145555555555554,0.20294444444444446,0.0845111111111111,0.07663333333333333,0.05152222222222222,0.03766666666666667,0.047711111111111114,0.047711111111111114,19931.0,18265.0,7606.0,6897.0,4637.0,3390.0,4294.0,4294.0,54
0.20166666666666666,0.22104444444444443,0.06785555555555556,0.07336666666666666,0.048211111111111114,0.044088888888888886,0.05791111111111111,0.061622222222222224,18150.0,19894.0,6107.0,6603.0,4339.0,3968.0,5212.0,5546.0,55
0.20383333333333334,0.19275555555555557,0.08734444444444445,0.0752,0.03831111111111111,0.046655555555555554,0.061566666666666665,0.044144444444444444,18345.0,17348.0,7861.0,6768.0,3448.0,4199.0,5541.0,3973.0,56
0.2076111111111111,0.18731111111111112,0.08807777777777778,0.05436666666666667,0.05134444444444444,0.042166666666666665,0.0538,0.06155555555555556,18685.0,16858.0,7927.0,4893.0,4621.0,3795.0,4842.0,5540.0,57
0.2015222222222222,0.18715555555555555,0.09025555555555556,0.0734,0.04502222222222222,0.0474,0.05268888888888889,0.05065555555555556,18137.0,16844.0,8123.0,6606.0,4052.0,4266.0,4742.0,4559.0,58
0.19832222222222223,0.18926666666666667,0.0735,0.06965555555555555,0.04537777777777778,0.04778888888888889,0.04921111111111111,0.054066666666666666,17849.0,17034.0,6615.0,6269.0,4084.0,4301.0,4429.0,4866.0,59
0.19998888888888888,0.20247777777777778,0.06797777777777778,0.07971111111111111,0.03936666666666667,0.038288888888888886,0.05266666666666667,0.055466666666666664,17999.0,18223.0,6118.0,7174.0,3543.0,3446.0,4740.0,4992.0,60
0.20874444444444445,0.1937111111111111,0.08153333333333333,0.0626,0.038877777777777775,0.04176666666666667,0.05438888888888889,0.06523333333333334,18787.0,17434.0,7338.0,5634.0,3499.0,3759.0,4895.0,5871.0,61
0.18695555555555557,0.2010888888888889,0.06377777777777778,0.06746666666666666,0.0501,0.03367777777777778,0.06652222222222222,0.06011111111111111,16826.0,18098.0,5740.0,6072.0,4509.0,3031.0,5987.0,5410.0,62
0.21055555555555555,0.19974444444444445,0.08045555555555556,0.06345555555555556,0.04507777777777778,0.04033333333333333,0.05,0.05076666666666667,18950.0,17977.0,7241.0,5711.0,4057.0,3630.0,4500.0,4569.0,63
0.18632222222222222,0.19574444444444444,0.07066666666666667,0.07268888888888889,0.037766666666666664,0.05288888888888889,0.0501,0.06301111111111111,16769.0,17617.0,6360.0,6542.0,3399.0,4760.0,4509.0,5671.0,64
0.21295555555555556,0.2029111111111111,0.07796666666666667,0.07055555555555555,0.04911111111111111,0.03861111111111111,0.03464444444444444,0.05138888888888889,19166.0,18262.0,7017.0,6350.0,4420.0,3475.0,3118.0,4625.0,65
0.19302222222222223,0.19483333333333333,0.0831,0.056466666666666665,0.049833333333333334,0.03728888888888889,0.04908888888888889,0.0613,17372.0,17535.0,7479.0,5082.0,4485.0,3356.0,4418.0,5517.0,66
0.19496666666666668,0.2029111111111111,0.07433333333333333,0.07297777777777778,0.042555555555555555,0.033855555555555555,0.05857777777777778,0.05178888888888889,17547.0,18262.0,6690.0,6568.0,3830.0,3047.0,5272.0,4661.0,67
0.19326666666666667,0.20137777777777777,0.07923333333333334,0.058633333333333336,0.053877777777777774,0.040155555555555555,0.05478888888888889,0.045177777777777775,17394.0,18124.0,7131.0,5277.0,4849.0,3614.0,4931.0,4066.0,68
0.18205555555555555,0.1951,0.06826666666666667,0.08296666666666666,0.05143333333333333,0.045644444444444446,0.055655555555555555,0.04714444444444445,16385.0,17559.0,6144.0,7467.0,4629.0,4108.0,5009.0,4243.0,69
0.19893333333333332,0.20053333333333334,0.09676666666666667,0.06551111111111112,0.047044444444444444,0.03638888888888889,0.0498,0.051555555555555556,17904.0,18048.0,8709.0,5896.0,4234.0,3275.0,4482.0,4640.0,70
0.19185555555555556,0.1834,0.06684444444444444,0.07218888888888889,0.04566666666666667,0.056666666666666664,0.050244444444444446,0.05603333333333333,17267.0,16506.0,6016.0,6497.0,4110.0,5100.0,4522.0,5043.0,71
0.20116666666666666,0.19841111111111112,0.07805555555555556,0.06888888888888889,0.0453,0.04161111111111111,0.0571,0.06556666666666666,18105.0,17857.0,7025.0,6200.0,4077.0,3745.0,5139.0,5901.0,72
0.21487777777777778,0.19822222222222222,0.07154444444444444,0.08063333333333333,0.04763333333333333,0.05211111111111111,0.05501111111111111,0.04563333333333333,19339.0,17840.0,6439.0,7257.0,4287.0,4690.0,4951.0,4107.0,73
0.19834444444444443,0.18213333333333334,0.0765,0.07301111111111111,0.05795555555555556,0.04164444444444444,0.05808888888888889,0.05123333333333333,17851.0,16392.0,6885.0,6571.0,5216.0,3748.0,5228.0,4611.0,74
0.2012,0.21584444444444445,0.059722222222222225,0.07146666666666666,0.041833333333333333,0.04788888888888889,0.06221111111111111,0.037788888888888886,18108.0,19426.0,5375.0,6432.0,3765.0,4310.0,5599.0,3401.0,75
0.18583333333333332,0.20905555555555555,0.07067777777777778,0.0752,0.05191111111111111,0.03794444444444445,0.04792222222222222,0.052644444444444445,16725.0,18815.0,6361.0,6768.0,4672.0,3415.0,4313.0,4738.0,76
0.17255555555555555,0.18794444444444444,0.06835555555555556,0.08992222222222222,0.04376666666666667,0.042722222222222224,0.052533333333333335,0.06932222222222222,15530.0,16915.0,6152.0,8093.0,3939.0,3845.0,4728.0,6239.0,77
0.19348888888888888,0.20243333333333333,0.06514444444444445,0.06536666666666667,0.035755555555555554,0.04387777777777778,0.05446666666666666,0.05751111111111111,17414.0,18219.0,5863.0,5883.0,3218.0,3949.0,4902.0,5176.0,78
0.21462222222222221,0.2051,0.08283333333333333,0.06871111111111111,0.05096666666666667,0.041133333333333334,0.05878888888888889,0.03848888888888889,19316.0,18459.0,7455.0,6184.0,4587.0,3702.0,5291.0,3464.0,79
0.20513333333333333,0.20433333333333334,0.07364444444444444,0.07377777777777778,0.046933333333333334,0.036922222222222224,0.0571,0.04416666666666667,18462.0,18390.0,6628.0,6640.0,4224.0,3323.0,5139.0,3975.0,80
0.18704444444444446,0.17853333333333332,0.06752222222222222,0.07201111111111111,0.045233333333333334,0.04903333333333333,0.056577777777777775,0.0577,16834.0,16068.0,6077.0,6481.0,4071.0,4413.0,5092.0,5193.0,81
0.22032222222222222,0.21793333333333334,0.06857777777777778,0.0741,0.044,0.04733333333333333,0.05047777777777778,0.04053333333333333,19829.0,19614.0,6172.0,6669.0,3960.0,4260.0,4543.0,3648.0,82
0.20521111111111112,0.20496666666666666,0.07093333333333333,0.07664444444444445,0.04744444444444444,0.044,0.04853333333333333,0.04555555555555556,18469.0,18447.0,6384.0,6898.0,4270.0,3960.0,4368.0,4100.0,83
0.18424444444444443,0.22132222222222223,0.07321111111111112,0.08656666666666667,0.03841111111111111,0.05502222222222222,0.0431,0.05216666666666667,16582.0,19919.0,6589.0,7791.0,3457.0,4952.0,3879.0,4695.0,84
0.1928,0.21085555555555555,0.07523333333333333,0.07853333333333333,0.0371,0.039266666666666665,0.06066666666666667,0.04145555555555556,17352.0,18977.0,6771.0,7068.0,3339.0,3534.0,5460.0,3731.0,85
0.1975888888888889,0.203,0.06463333333333333,0.0908888888888889,0.03632222222222222,0.047733333333333336,0.0428,0.0637888888888889,17783.0,18270.0,5817.0,8180.0,3269.0,4296.0,3852.0,5741.0,86
0.1988888888888889,0.20756666666666668,0.06515555555555555,0.08965555555555556,0.049544444444444447,0.0431,0.06625555555555555,0.04554444444444444,17900.0,18681.0,5864.0,8069.0,4459.0,3879.0,5963.0,4099.0,87
0.18545555555555557,0.21351111111111112,0.06907777777777778,0.08543333333333333,0.05156666666666666,0.04928888888888889,0.05333333333333334,0.04934444444444445,16691.0,19216.0,6217.0,7689.0,4641.0,4436.0,4800.0,4441.0,88
0.22542222222222222,0.19195555555555555,0.07137777777777778,0.06565555555555555,0.04548888888888889,0.038288888888888886,0.05062222222222222,0.0548,20288.0,17276.0,6424.0,5909.0,4094.0,3446.0,4556.0,4932.0,89
0.2010111111111111,0.2001777777777778,0.08235555555555556,0.06381111111111111,0.04293333333333333,0.0519,0.054177777777777776,0.04424444444444445,18091.0,18016.0,7412.0,5743.0,3864.0,4671.0,4876.0,3982.0,90
0.1966,0.20407777777777777,0.06928888888888889,0.0894,0.04368888888888889,0.06448888888888889,0.033522222222222224,0.05282222222222222,17694.0,18367.0,6236.0,8046.0,3932.0,5804.0,3017.0,4754.0,91
0.18193333333333334,0.20005555555555554,0.06423333333333334,0.09415555555555556,0.05015555555555556,0.04476666666666667,0.049044444444444446,0.0604,16374.0,18005.0,5781.0,8474.0,4514.0,4029.0,4414.0,5436.0,92
0.2061888888888889,0.1847888888888889,0.07985555555555555,0.06425555555555555,0.048044444444444445,0.03548888888888889,0.07152222222222222,0.0452,18557.0,16631.0,7187.0,5783.0,4324.0,3194.0,6437.0,4068.0,93
0.19934444444444444,0.2180777777777778,0.0734888888888889,0.0748,0.037955555555555555,0.04664444444444445,0.04568888888888889,0.052955555555555554,17941.0,19627.0,6614.0,6732.0,3416.0,4198.0,4112.0,4766.0,94
0.21172222222222223,0.20071111111111112,0.08388888888888889,0.06928888888888889,0.05394444444444445,0.04636666666666667,0.05517777777777778,0.047877777777777776,19055.0,18064.0,7550.0,6236.0,4855.0,4173.0,4966.0,4309.0,95
0.18831111111111112,0.21275555555555556,0.05812222222222222,0.07093333333333333,0.04001111111111111,0.05243333333333333,0.061655555555555554,0.051666666666666666,16948.0,19148.0,5231.0,6384.0,3601.0,4719.0,5549.0,4650.0,96
0.1902888888888889,0.1945111111111111,0.06834444444444444,0.08032222222222223,0.052366666666666666,0.04471111111111111,0.059866666666666665,0.05124444444444445,17126.0,17506.0,6151.0,7229.0,4713.0,4024.0,5388.0,4612.0,97
0.20577777777777778,0.21215555555555554,0.06338888888888888,0.07367777777777777,0.0462,0.04633333333333333,0.05492222222222222,0.05137777777777778,18520.0,19094.0,5705.0,6631.0,4158.0,4170.0,4943.0,4624.0,98
0.17535555555555554,0.2384111111111111,0.058722222222222224,0.09361111111111112,0.032433333333333335,0.05854444444444445,0.0305,0.0679,15782.0,21457.0,5285.0,8425.0,2919.0,5269.0,2745.0,6111.0,99
